location_block,amenity_count,score
"40.43,-79.87",1,0.0
"40.37,-79.97",1,0.0
"40.48,-79.92",1,0.0
"40.49,-80.02",1,0.0
"40.48,-79.96",1,0.0
"40.42,-79.98",1,0.0
"40.45,-80.07",1,0.0
"40.5,-79.93",1,0.0
"40.35,-79.82",1,0.0
"40.39,-80.06",1,0.0
"40.55,-80.03",1,0.0
"40.56,-79.97",1,0.0
"40.26,-79.88",1,0.0
"40.63,-79.86",1,0.0
"40.4,-80.08",1,0.0
"40.44,-79.89",1,0.0
"40.48,-80.03",1,0.0
"40.4,-79.84",1,0.0
"40.54,-80.23",1,0.0
"40.37,-79.83",1,0.0
"40.66,-79.93",1,0.0
"40.52,-80.05",1,0.0
"40.61,-79.95",1,0.0
"40.37,-80.04",1,0.0
"40.38,-79.86",1,0.0
"40.55,-79.91",1,0.0
"40.56,-79.96",1,0.0
"40.37,-80.13",1,0.0
"40.59,-80.01",1,0.0
"40.52,-80.07",1,0.0
"40.44,-80.19",1,0.0
"40.44,-80.2",1,0.0
"40.33,-79.84",1,0.0
"40.33,-80.13",1,0.0
"40.58,-80.06",1,0.0
"40.66,-80.09",1,0.0
"40.27,-79.9",1,0.0
"40.59,-79.99",1,0.0
"40.42,-80.04",1,0.0
"40.61,-80.05",1,0.0
"40.61,-80.1",1,0.0
"40.51,-79.96",1,0.0
"40.5,-79.85",1,0.0
"40.38,-79.89",1,0.0
"40.61,-79.74",1,0.0
"40.6,-79.95",1,0.0
"40.53,-80.05",1,0.0
"40.29,-80.03",1,0.0
"40.3,-79.99",1,0.0
"40.46,-79.81",1,0.0
"40.66,-80.0",1,0.0
"40.47,-79.91",1,0.0
"40.49,-79.87",1,0.0
"40.37,-80.03",1,0.0
"40.43,-80.02",1,0.0
"40.44,-79.81",1,0.0
"40.55,-79.93",1,0.0
"40.46,-80.06",1,0.0
"40.41,-80.08",1,0.0
"40.45,-79.78",1,0.0
"40.42,-79.96",1,0.0
"40.42,-80.01",1,0.0
"40.38,-80.02",1,0.0
"40.4,-80.03",1,0.0
"40.43,-79.95",1,0.0
"40.33,-80.02",1,0.0
"40.38,-79.87",1,0.0
"40.36,-79.93",1,0.0
"40.43,-80.06",1,0.0
"40.47,-79.93",1,0.0
"40.48,-80.13",1,0.0
"40.45,-79.93",1,0.0
"40.56,-80.04",1,0.0
"40.58,-79.78",1,0.0
"40.54,-79.8",1,0.0
"40.45,-79.71",1,0.0
"40.45,-80.16",1,0.0
"40.32,-79.94",1,0.0
"40.53,-79.82",1,0.0
"40.43,-79.81",1,0.0
"40.35,-80.02",1,0.0
"40.51,-79.86",1,0.0
"40.63,-80.08",1,0.0
"40.4,-80.19",1,0.0
"40.61,-80.09",1,0.0
"40.33,-79.85",1,0.0
"40.59,-79.97",1,0.0
"40.36,-80.12",1,0.0
"40.33,-79.99",1,0.0
"40.43,-79.72",1,0.0
"40.28,-79.87",1,0.0
"40.45,-80.06",1,0.0
"40.45,-79.96",1,0.0
"40.42,-80.0",1,0.0
"40.56,-80.23",1,0.0
"40.54,-79.97",1,0.0
"40.63,-79.95",1,0.0
"40.43,-79.8",1,0.0
"40.46,-79.87",1,0.0
"40.4,-77.02",1,0.0
"40.5,-79.97",1,0.0
"40.55,-79.97",1,0.0
"40.41,-80.03",1,0.0
"40.4,-80.02",1,0.0
"40.39,-80.04",1,0.0
"40.45,-79.89",1,0.0
"40.34,-79.96",1,0.0
"40.47,-79.92",1,0.0
"40.45,-79.83",1,0.0
"40.37,-80.01",1,0.0
"40.36,-80.03",1,0.0
"40.33,-79.89",1,0.0
"40.29,-79.87",1,0.0
"40.34,-79.87",1,0.0
"40.43,-79.73",1,0.0
"40.58,-80.04",1,0.0
"40.43,-79.75",1,0.0
"40.49,-80.04",1,0.0
"40.21,-76.77",1,0.0
"40.44,-79.86",1,0.0
"40.46,-79.83",1,0.0
"40.55,-80.12",1,0.0
"40.43,-80.07",1,0.0
"40.27,-79.81",1,0.0
"40.48,-79.81",1,0.0
"40.34,-79.85",1,0.0
"40.43,-79.91",1,0.0
"40.5,-80.08",1,0.0
"40.63,-79.71",1,0.0
"40.31,-79.82",1,0.0
"40.46,-79.82",1,0.0
"40.39,-79.77",1,0.0
"40.57,-80.04",1,0.0
"40.33,-80.07",1,0.0
"40.5,-79.98",1,0.0
"40.48,-80.1",1,0.0
"40.42,-79.88",1,0.0
"40.44,-80.04",1,0.0
"40.37,-80.23",1,0.0
"40.27,-79.8",1,0.0
"40.49,-79.78",1,0.0
"40.46,-80.0",1,0.0
"40.65,-79.84",1,0.0
"40.37,-80.12",1,0.0
"40.49,-80.05",1,0.0
"40.36,-79.86",1,0.0
"40.38,-79.88",1,0.0
"40.52,-80.19",1,0.0
"40.36,-79.87",1,0.0
"40.49,-79.86",1,0.0
"40.4,-80.1",1,0.0
"40.61,-79.93",1,0.0
"40.59,-80.04",1,0.0
"40.46,-79.84",1,0.0
"40.54,-80.18",1,0.0
"40.42,-77.2",1,0.0
"40.52,-80.03",1,0.0
"40.57,-80.01",1,0.0
"40.57,-79.95",1,0.0
"40.49,-80.2",1,0.0
"40.62,-79.72",1,0.0
"40.44,-79.8",1,0.0
"40.67,-79.71",1,0.0
"40.37,-80.11",1,0.0
"40.34,-80.05",1,0.0
"40.61,-79.83",1,0.0
"40.5,-79.82",1,0.0
"40.51,-80.09",1,0.0
"41.2,-77.19",1,0.0
"40.55,-80.11",1,0.0
"40.49,-80.27",1,0.0
"40.53,-80.03",1,0.0
"40.59,-79.95",1,0.0
"40.65,-80.08",1,0.0
"40.44,-79.75",1,0.0
"40.45,-79.76",1,0.0
